Latitude (decimal degrees):	6.943
Longitude (decimal degrees):	-75.922
Elevation (m):	2179
Radiation database:	PVGIS-ERA5


Slope: 37 deg. (optimum)
Azimuth: - deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230109:0130,0.0,0.0,0.0,0.0,16.78,0.14,0.0
20230109:0230,0.0,0.0,0.0,0.0,16.57,0.28,0.0
20230109:0330,0.0,0.0,0.0,0.0,16.37,0.34,0.0
20230109:0430,0.0,0.0,0.0,0.0,16.06,0.41,0.0
20230109:0530,0.0,0.0,0.0,0.0,15.87,0.41,0.0
20230109:0630,0.0,0.0,0.0,0.0,15.65,0.28,0.0
20230109:0730,0.0,0.0,0.0,0.0,15.34,0.28,0.0
20230109:0830,0.0,0.0,0.0,0.0,15.31,0.21,0.0
20230109:0930,0.0,0.0,0.0,0.0,15.3,0.14,0.0
20230109:1030,0.0,0.0,0.0,0.0,15.1,0.34,0.0
20230109:1130,0.0,9.06,0.22,1.87,15.05,0.34,0.0
20230109:1230,120.97,88.09,2.42,15.49,15.03,0.48,0.0
20230109:1330,402.49,116.4,6.23,28.7,16.86,0.28,0.0
20230109:1430,414.23,145.52,8.36,41.12,18.57,0.41,0.0
20230109:1530,518.24,267.77,13.41,51.92,19.8,0.41,0.0
20230109:1630,707.66,243.57,17.13,59.3,21.2,0.62,0.0
20230109:1730,415.74,335.44,14.27,60.56,22.2,0.69,0.0
20230109:1830,207.05,305.32,9.94,55.03,21.81,0.9,0.0
20230109:1930,167.72,240.58,7.5,45.16,20.64,0.76,0.0
20230109:2030,127.47,160.16,4.82,33.18,19.07,0.83,0.0
20230109:2130,21.51,46.95,1.22,20.18,18.43,0.9,0.0
20230109:2230,0.0,15.43,0.38,6.68,17.39,0.41,0.0
20230109:2330,0.0,0.0,0.0,0.0,17.0,0.41,0.0
20230110:0030,0.0,0.0,0.0,0.0,16.69,0.14,0.0
20230110:0130,0.0,0.0,0.0,0.0,16.24,0.21,0.0
20230110:0230,0.0,0.0,0.0,0.0,15.94,0.14,0.0
20230110:0330,0.0,0.0,0.0,0.0,15.69,0.07,0.0
20230110:0430,0.0,0.0,0.0,0.0,15.41,0.07,0.0
20230110:0530,0.0,0.0,0.0,0.0,15.39,0.0,0.0
20230110:0630,0.0,0.0,0.0,0.0,15.41,0.07,0.0
20230110:0730,0.0,0.0,0.0,0.0,15.47,0.41,0.0
20230110:0830,0.0,0.0,0.0,0.0,15.39,0.28,0.0
20230110:0930,0.0,0.0,0.0,0.0,15.29,0.21,0.0
20230110:1030,0.0,0.0,0.0,0.0,15.24,0.14,0.0
20230110:1130,0.0,6.29,0.15,1.8,15.29,0.28,0.0
20230110:1230,20.64,38.66,0.99,15.44,15.42,0.21,0.0
20230110:1330,294.65,118.83,5.26,28.67,16.12,0.21,0.0
20230110:1430,18.62,120.11,2.97,41.12,17.73,0.41,0.0
20230110:1530,113.63,234.72,6.95,51.96,18.19,0.55,0.0
20230110:1630,105.05,262.59,7.66,59.4,19.64,0.55,0.0
20230110:1730,61.02,207.66,5.75,60.71,20.2,0.48,0.0
20230110:1830,32.97,220.45,5.53,55.2,19.41,0.28,0.0
20230110:1930,54.89,201.3,5.27,45.32,19.48,0.62,0.0
20230110:2030,63.63,178.47,4.63,33.32,19.92,0.48,0.0
20230110:2130,24.09,102.87,2.47,20.31,19.14,0.48,0.0
20230110:2230,0.0,22.77,0.56,6.79,18.35,0.28,0.0
20230110:2330,0.0,0.0,0.0,0.0,17.11,0.41,0.0
20230111:0030,0.0,0.0,0.0,0.0,16.07,0.34,0.0
20230111:0130,0.0,0.0,0.0,0.0,16.46,0.07,0.0
20230111:0230,0.0,0.0,0.0,0.0,16.4,0.21,0.0
20230111:0330,0.0,0.0,0.0,0.0,15.94,0.41,0.0
20230111:0430,0.0,0.0,0.0,0.0,15.14,0.48,0.0
20230111:0530,0.0,0.0,0.0,0.0,14.88,0.48,0.0
20230111:0630,0.0,0.0,0.0,0.0,14.71,0.41,0.0
20230111:0730,0.0,0.0,0.0,0.0,15.47,0.21,0.0
20230111:0830,0.0,0.0,0.0,0.0,15.31,0.34,0.0
20230111:0930,0.0,0.0,0.0,0.0,15.34,0.28,0.0
20230111:1030,0.0,0.0,0.0,0.0,15.33,0.28,0.0
20230111:1130,0.0,7.88,0.19,1.73,15.23,0.41,0.0
20230111:1230,99.4,87.08,2.3,15.39,15.29,0.62,0.0
20230111:1330,340.1,208.36,7.2,28.64,16.67,0.48,0.0
20230111:1430,280.97,201.51,7.8,41.12,18.64,0.48,0.0
20230111:1530,381.72,263.34,11.36,52.01,19.54,0.41,0.0
20230111:1630,782.62,180.37,17.26,59.51,20.74,0.62,0.0
20230111:1730,612.13,223.25,15.39,60.88,21.68,0.62,0.0
20230111:1830,308.51,277.29,10.88,55.37,22.45,0.62,0.0
20230111:1930,280.32,223.51,8.58,45.48,20.51,1.1,0.0
20230111:2030,48.63,85.35,2.46,33.47,20.01,0.48,0.0
20230111:2130,119.63,119.03,3.3,20.45,18.03,0.34,0.0
20230111:2230,0.0,14.17,0.35,6.91,18.22,0.34,0.0
20230111:2330,0.0,0.0,0.0,0.0,17.44,0.21,0.0
20230112:0030,0.0,0.0,0.0,0.0,17.09,0.07,0.0
20230112:0130,0.0,0.0,0.0,0.0,16.91,0.41,0.0
20230112:0230,0.0,0.0,0.0,0.0,16.89,0.34,0.0
20230112:0330,0.0,0.0,0.0,0.0,16.79,0.21,0.0
20230112:0430,0.0,0.0,0.0,0.0,16.51,0.28,0.0
20230112:0530,0.0,0.0,0.0,0.0,16.02,0.34,0.0
20230112:0630,0.0,0.0,0.0,0.0,15.72,0.34,0.0
20230112:0730,0.0,0.0,0.0,0.0,15.53,0.41,0.0
20230112:0830,0.0,0.0,0.0,0.0,15.34,0.41,0.0
20230112:0930,0.0,0.0,0.0,0.0,15.26,0.41,0.0
20230112:1030,0.0,0.0,0.0,0.0,15.13,0.34,0.0
20230112:1130,0.0,11.78,0.29,1.66,14.95,0.28,0.0
20230112:1230,280.43,106.53,3.4,15.34,14.97,0.34,0.0
20230112:1330,364.61,140.42,6.26,28.62,16.55,0.28,0.0
20230112:1430,540.34,236.93,11.53,41.13,18.29,0.21,0.0
20230112:1530,759.66,192.1,15.67,52.06,20.25,0.0,0.0
20230112:1630,665.22,210.16,15.84,59.63,21.56,0.41,0.0
20230112:1730,578.85,201.02,14.41,61.05,21.8,0.69,0.0
20230112:1830,143.39,211.95,7.02,55.55,21.91,0.9,0.0
20230112:1930,205.57,238.36,7.95,45.65,20.2,0.9,0.0
20230112:2030,130.1,146.56,4.59,33.62,20.67,0.83,0.0
20230112:2130,110.04,80.16,2.5,20.58,19.1,1.1,0.0
20230112:2230,0.0,21.09,0.52,7.02,18.41,0.34,0.0
20230112:2330,0.0,0.0,0.0,0.0,17.79,0.21,0.0
20230113:0030,0.0,0.0,0.0,0.0,17.21,0.21,0.0
20230113:0130,0.0,0.0,0.0,0.0,16.94,0.28,0.0
20230113:0230,0.0,0.0,0.0,0.0,16.7,0.14,0.0
20230113:0330,0.0,0.0,0.0,0.0,16.46,0.14,0.0
20230113:0430,0.0,0.0,0.0,0.0,16.05,0.21,0.0
20230113:0530,0.0,0.0,0.0,0.0,15.62,0.28,0.0
20230113:0630,0.0,0.0,0.0,0.0,15.58,0.21,0.0
20230113:0730,0.0,0.0,0.0,0.0,15.39,0.28,0.0
20230113:0830,0.0,0.0,0.0,0.0,15.41,0.41,0.0
20230113:0930,0.0,0.0,0.0,0.0,15.1,0.48,0.0
20230113:1030,0.0,0.0,0.0,0.0,14.96,0.55,0.0
20230113:1130,0.0,12.87,0.31,1.6,14.39,0.55,0.0
20230113:1230,85.85,107.46,2.64,15.3,14.12,0.41,0.0
20230113:1330,185.4,176.3,5.38,28.6,16.16,0.41,0.0
20230113:1430,420.35,265.95,10.64,41.14,17.68,0.41,0.0
20230113:1530,467.1,256.67,12.48,52.12,19.57,0.07,0.0
20230113:1630,615.61,191.06,14.65,59.75,20.72,0.34,0.0
20230113:1730,586.39,171.31,13.99,61.23,21.57,0.55,0.0
20230113:1830,353.15,281.14,11.67,55.74,22.41,0.62,0.0
20230113:1930,191.28,239.61,7.81,45.81,21.43,0.62,0.0
20230113:2030,112.0,173.06,4.97,33.77,19.77,1.24,0.0
20230113:2130,35.75,77.44,1.98,20.71,19.01,0.76,0.0
20230113:2230,0.0,28.01,0.68,7.14,18.25,0.41,0.0
20230113:2330,0.0,0.0,0.0,0.0,17.38,0.28,0.0
20230114:0030,0.0,0.0,0.0,0.0,17.2,0.28,0.0
20230114:0130,0.0,0.0,0.0,0.0,16.97,0.34,0.0
20230114:0230,0.0,0.0,0.0,0.0,16.67,0.28,0.0
20230114:0330,0.0,0.0,0.0,0.0,16.44,0.41,0.0
20230114:0430,0.0,0.0,0.0,0.0,15.76,0.48,0.0
20230114:0530,0.0,0.0,0.0,0.0,15.33,0.55,0.0
20230114:0630,0.0,0.0,0.0,0.0,14.98,0.55,0.0
20230114:0730,0.0,0.0,0.0,0.0,15.22,0.55,0.0
20230114:0830,0.0,0.0,0.0,0.0,14.99,0.48,0.0
20230114:0930,0.0,0.0,0.0,0.0,14.4,0.55,0.0
20230114:1030,0.0,0.0,0.0,0.0,13.74,0.62,0.0
20230114:1130,0.0,13.04,0.32,1.54,13.11,0.69,0.0
20230114:1230,123.01,100.3,2.62,15.26,13.66,0.62,0.0
20230114:1330,269.53,222.64,6.89,28.58,15.95,0.55,0.0
20230114:1430,483.06,256.28,11.19,41.16,18.03,0.55,0.0
20230114:1530,630.23,176.18,13.42,52.19,19.96,0.48,0.0
20230114:1630,689.85,153.23,15.22,59.89,21.13,0.41,0.0
20230114:1730,576.85,246.04,15.31,61.42,21.71,0.55,0.0
20230114:1830,263.41,294.14,10.6,55.93,21.7,0.97,0.0
20230114:1930,172.77,246.67,7.74,45.99,21.45,1.24,0.0
20230114:2030,183.96,158.79,5.38,33.92,19.9,0.69,0.0
20230114:2130,27.82,60.43,1.56,20.84,19.22,0.76,0.0
20230114:2230,0.0,19.33,0.47,7.26,17.8,0.14,0.0
20230114:2330,0.0,0.0,0.0,0.0,17.75,0.14,0.0
20230115:0030,0.0,0.0,0.0,0.0,16.86,0.48,0.0
20230115:0130,0.0,0.0,0.0,0.0,16.55,0.62,0.0
20230115:0230,0.0,0.0,0.0,0.0,16.12,0.83,0.0
20230115:0330,0.0,0.0,0.0,0.0,15.6,0.9,0.0
20230115:0430,0.0,0.0,0.0,0.0,15.4,0.9,0.0
20230115:0530,0.0,0.0,0.0,0.0,15.17,0.83,0.0
20230115:0630,0.0,0.0,0.0,0.0,14.94,0.83,0.0
20230115:0730,0.0,0.0,0.0,0.0,15.36,0.83,0.0
20230115:0830,0.0,0.0,0.0,0.0,15.27,0.76,0.0
20230115:0930,0.0,0.0,0.0,0.0,14.78,0.9,0.0
20230115:1030,0.0,0.0,0.0,0.0,14.9,0.83,0.0
20230115:1130,0.0,11.7,0.29,1.48,14.71,0.83,0.0
20230115:1230,323.14,119.81,3.77,15.22,14.63,0.83,0.0
20230115:1330,608.51,144.8,8.6,28.57,16.7,1.03,0.0
20230115:1430,825.67,160.64,13.87,41.18,18.59,1.03,0.0
20230115:1530,711.77,211.66,15.32,52.26,20.48,1.1,0.0
20230115:1630,615.98,234.97,15.54,60.02,21.72,0.97,0.0
20230115:1730,530.54,174.76,13.13,61.61,22.61,1.03,0.0
20230115:1830,544.2,167.24,12.48,56.13,22.7,0.9,0.0
20230115:1930,596.32,173.27,11.93,46.16,22.76,0.9,0.0
20230115:2030,337.12,154.36,6.86,34.07,22.16,0.9,0.0
20230115:2130,287.06,91.96,3.94,20.97,20.85,0.97,0.0
20230115:2230,0.0,23.44,0.57,7.37,19.52,0.55,0.0
20230115:2330,0.0,0.0,0.0,0.0,18.73,0.41,0.0
20230116:0030,0.0,0.0,0.0,0.0,18.07,0.62,0.0
20230116:0130,0.0,0.0,0.0,0.0,17.58,0.62,0.0
20230116:0230,0.0,0.0,0.0,0.0,17.26,0.55,0.0
20230116:0330,0.0,0.0,0.0,0.0,16.85,0.55,0.0
20230116:0430,0.0,0.0,0.0,0.0,16.65,0.55,0.0
20230116:0530,0.0,0.0,0.0,0.0,16.58,0.55,0.0
20230116:0630,0.0,0.0,0.0,0.0,16.47,0.41,0.0
20230116:0730,0.0,0.0,0.0,0.0,15.59,0.69,0.0
20230116:0830,0.0,0.0,0.0,0.0,15.18,0.69,0.0
20230116:0930,0.0,0.0,0.0,0.0,14.94,0.76,0.0
20230116:1030,0.0,0.0,0.0,0.0,14.72,0.69,0.0
20230116:1130,0.0,12.96,0.32,1.43,14.55,0.62,0.0
20230116:1230,282.2,140.1,3.86,15.18,14.25,0.69,0.0
20230116:1330,560.62,196.9,8.91,28.56,16.05,0.69,0.0
20230116:1430,726.61,194.84,13.15,41.2,18.35,0.41,0.0
20230116:1530,767.59,189.45,15.79,52.33,20.12,0.07,0.0
20230116:1630,578.83,234.5,14.93,60.17,21.33,0.21,0.0
20230116:1730,599.0,167.99,14.23,61.8,22.05,0.34,0.0
20230116:1830,391.9,159.19,9.88,56.32,22.39,0.62,0.0
20230116:1930,397.35,189.64,9.54,46.33,21.74,0.76,0.0
20230116:2030,421.8,186.46,8.32,34.22,21.48,0.69,0.0
20230116:2130,228.02,111.9,3.87,21.1,21.07,0.62,0.0
20230116:2230,0.0,28.93,0.71,7.48,20.0,0.55,0.0
20230116:2330,0.0,0.0,0.0,-6.4,19.37,0.21,0.0
20230117:0030,0.0,0.0,0.0,0.0,18.67,0.21,0.0
20230117:0130,0.0,0.0,0.0,0.0,18.25,0.21,0.0
20230117:0230,0.0,0.0,0.0,0.0,17.74,0.07,0.0
20230117:0330,0.0,0.0,0.0,0.0,17.56,0.21,0.0
20230117:0430,0.0,0.0,0.0,0.0,17.22,0.34,0.0
20230117:0530,0.0,0.0,0.0,0.0,16.8,0.34,0.0
20230117:0630,0.0,0.0,0.0,0.0,16.47,0.41,0.0
20230117:0730,0.0,0.0,0.0,0.0,16.53,0.34,0.0
20230117:0830,0.0,0.0,0.0,0.0,16.32,0.41,0.0
20230117:0930,0.0,0.0,0.0,0.0,16.34,0.48,0.0
20230117:1030,0.0,0.0,0.0,0.0,16.06,0.48,0.0
20230117:1130,0.0,9.73,0.24,1.38,15.96,0.48,0.0
20230117:1230,169.0,80.74,2.47,15.15,15.78,0.48,0.0
20230117:1330,454.62,165.76,7.48,28.56,16.8,0.48,0.0
20230117:1430,532.94,243.73,11.58,41.23,18.91,0.41,0.0
20230117:1530,641.19,243.55,14.85,52.41,20.48,0.21,0.0
20230117:1630,644.73,244.87,16.27,60.32,21.78,0.14,0.0
20230117:1730,667.14,173.95,15.58,62.01,22.5,0.34,0.0
20230117:1830,543.27,212.76,13.39,56.53,22.9,0.76,0.0
20230117:1930,340.54,189.13,8.78,46.51,21.99,0.83,0.0
20230117:2030,383.19,191.83,8.04,34.37,20.75,0.83,0.0
20230117:2130,215.8,90.04,3.43,21.23,19.85,0.69,0.0
20230117:2230,0.0,23.65,0.58,7.6,19.41,0.76,0.0
20230117:2330,0.0,0.0,0.0,-6.3,18.81,0.41,0.0
20230118:0030,0.0,0.0,0.0,0.0,18.38,0.21,0.0
20230118:0130,0.0,0.0,0.0,0.0,17.64,0.55,0.0
20230118:0230,0.0,0.0,0.0,0.0,17.57,0.62,0.0
20230118:0330,0.0,0.0,0.0,0.0,17.24,0.55,0.0
20230118:0430,0.0,0.0,0.0,0.0,16.71,0.62,0.0
20230118:0530,0.0,0.0,0.0,0.0,16.52,0.48,0.0
20230118:0630,0.0,0.0,0.0,0.0,16.11,0.48,0.0
20230118:0730,0.0,0.0,0.0,0.0,16.23,0.41,0.0
20230118:0830,0.0,0.0,0.0,0.0,15.92,0.48,0.0
20230118:0930,0.0,0.0,0.0,0.0,15.36,0.62,0.0
20230118:1030,0.0,0.0,0.0,0.0,15.18,0.62,0.0
20230118:1130,0.0,11.74,0.29,1.33,15.02,0.69,0.0
20230118:1230,200.38,129.02,3.37,15.13,15.11,0.69,0.0
20230118:1330,290.52,206.31,6.76,28.56,16.89,0.69,0.0
20230118:1430,553.45,246.99,11.89,41.27,18.51,0.69,0.0
20230118:1530,361.26,275.76,11.36,52.5,20.32,0.28,0.0
20230118:1630,454.02,306.23,14.3,60.47,21.06,0.28,0.0
20230118:1730,420.72,316.59,14.16,62.22,21.31,0.55,0.0
20230118:1830,137.85,212.8,6.99,56.73,21.68,0.62,0.0
20230118:1930,551.28,218.21,12.2,46.69,19.22,0.9,0.0
20230118:2030,364.77,127.84,6.73,34.52,20.11,1.03,0.0
20230118:2130,152.45,127.19,3.7,21.36,19.5,0.69,0.0
20230118:2230,0.0,31.2,0.76,7.71,18.86,0.83,0.0
20230118:2330,0.0,0.0,0.0,-6.21,18.31,0.48,0.0
20230119:0030,0.0,0.0,0.0,0.0,17.45,0.41,0.0
20230119:0130,0.0,0.0,0.0,0.0,17.11,0.48,0.0
20230119:0230,0.0,0.0,0.0,0.0,16.92,0.55,0.0
20230119:0330,0.0,0.0,0.0,0.0,16.58,0.41,0.0
20230119:0430,0.0,0.0,0.0,0.0,16.26,0.48,0.0
20230119:0530,0.0,0.0,0.0,0.0,16.06,0.48,0.0
20230119:0630,0.0,0.0,0.0,0.0,15.66,0.48,0.0
20230119:0730,0.0,0.0,0.0,0.0,15.2,0.48,0.0
20230119:0830,0.0,0.0,0.0,0.0,15.24,0.41,0.0
20230119:0930,0.0,0.0,0.0,0.0,14.95,0.48,0.0
20230119:1030,0.0,0.0,0.0,0.0,14.46,0.62,0.0
20230119:1130,0.0,9.9,0.24,1.29,14.11,0.69,0.0
20230119:1230,239.72,94.0,3.0,15.1,14.27,0.55,0.0
20230119:1330,526.3,113.44,7.35,28.56,16.18,0.55,0.0
20230119:1430,675.25,139.97,11.62,41.31,18.35,0.62,0.0
20230119:1530,670.14,176.8,14.11,52.59,20.09,0.69,0.0
20230119:1630,733.52,208.29,17.15,60.64,21.29,0.48,0.0
20230119:1730,640.25,144.45,14.6,62.43,22.23,0.55,0.0
20230119:1830,624.4,214.39,14.8,56.95,22.23,0.9,0.0
20230119:1930,672.17,175.12,13.14,46.87,21.9,1.31,0.0
20230119:2030,654.8,166.61,10.58,34.68,21.78,1.38,0.0
20230119:2130,141.98,107.56,3.28,21.49,21.31,1.38,0.0
20230119:2230,0.0,25.66,0.63,7.82,20.26,0.41,0.0
20230119:2330,0.0,0.0,0.0,-6.11,19.31,0.34,0.0
20230120:0030,0.0,0.0,0.0,0.0,18.46,0.41,0.0
20230120:0130,0.0,0.0,0.0,0.0,18.06,0.34,0.0
20230120:0230,0.0,0.0,0.0,0.0,17.48,0.34,0.0
20230120:0330,0.0,0.0,0.0,0.0,16.89,0.55,0.0
20230120:0430,0.0,0.0,0.0,0.0,16.37,0.55,0.0
20230120:0530,0.0,0.0,0.0,0.0,15.68,0.62,0.0
20230120:0630,0.0,0.0,0.0,0.0,14.87,0.55,0.0
20230120:0730,0.0,0.0,0.0,0.0,15.0,0.48,0.0
20230120:0830,0.0,0.0,0.0,0.0,14.51,0.48,0.0
20230120:0930,0.0,0.0,0.0,0.0,13.92,0.55,0.0
20230120:1030,0.0,0.0,0.0,0.0,13.08,0.62,0.0
20230120:1130,0.0,11.91,0.29,1.24,12.32,0.55,0.0
20230120:1230,177.39,135.38,3.39,15.08,12.0,0.62,0.0
20230120:1330,217.72,248.95,6.99,28.56,14.36,0.55,0.0
20230120:1430,523.09,265.78,11.86,41.35,16.79,0.55,0.0
20230120:1530,868.44,166.89,17.04,52.69,19.44,0.69,0.0
20230120:1630,799.19,163.88,17.5,60.8,21.1,0.69,0.0
20230120:1730,789.1,199.77,18.37,62.65,21.95,0.62,0.0
20230120:1830,685.54,155.15,14.73,57.16,22.78,0.76,0.0
20230120:1930,620.28,148.98,11.98,47.06,22.97,0.97,0.0
20230120:2030,631.84,143.81,10.0,34.83,22.52,0.97,0.0
20230120:2130,476.5,118.91,5.81,21.62,21.78,1.03,0.0
20230120:2230,0.0,22.9,0.56,7.93,20.52,0.83,0.0
20230120:2330,0.0,0.0,0.0,-6.02,19.2,0.48,0.0
20230121:0030,0.0,0.0,0.0,0.0,17.86,0.41,0.0
20230121:0130,0.0,0.0,0.0,0.0,17.15,0.28,0.0
20230121:0230,0.0,0.0,0.0,0.0,16.51,0.28,0.0
20230121:0330,0.0,0.0,0.0,0.0,16.18,0.41,0.0
20230121:0430,0.0,0.0,0.0,0.0,15.98,0.34,0.0
20230121:0530,0.0,0.0,0.0,0.0,15.34,0.34,0.0
20230121:0630,0.0,0.0,0.0,0.0,14.78,0.28,0.0
20230121:0730,0.0,0.0,0.0,0.0,15.43,0.48,0.0
20230121:0830,0.0,0.0,0.0,0.0,15.06,0.55,0.0
20230121:0930,0.0,0.0,0.0,0.0,14.69,0.62,0.0
20230121:1030,0.0,0.0,0.0,0.0,14.44,0.62,0.0
20230121:1130,0.0,10.02,0.24,1.2,14.13,0.69,0.0
20230121:1230,351.12,113.61,3.8,15.07,14.41,0.62,0.0
20230121:1330,573.7,144.65,8.26,28.58,16.14,1.03,0.0
20230121:1430,547.01,191.22,10.86,41.4,18.09,0.69,0.0
20230121:1530,479.34,288.31,13.35,52.79,19.9,0.62,0.0
20230121:1630,472.33,280.08,14.14,60.98,21.26,0.28,0.0
20230121:1730,603.33,246.31,16.0,62.88,21.77,0.41,0.0
20230121:1830,555.32,234.45,14.12,57.38,21.94,0.76,0.0
20230121:1930,502.02,183.83,10.97,47.24,22.04,0.69,0.0
20230121:2030,271.44,206.73,7.25,34.98,21.88,0.76,0.0
20230121:2130,68.99,104.25,2.77,21.75,20.87,0.76,0.0
20230121:2230,0.0,21.22,0.52,8.03,19.64,0.41,0.0
20230121:2330,0.0,0.0,0.0,-5.93,18.01,0.14,0.0
20230122:0030,0.0,0.0,0.0,0.0,17.08,0.14,0.0
20230122:0130,0.0,0.0,0.0,0.0,16.37,0.41,0.0
20230122:0230,0.0,0.0,0.0,0.0,16.22,0.34,0.0
20230122:0330,0.0,0.0,0.0,0.0,16.34,0.34,0.0
20230122:0430,0.0,0.0,0.0,0.0,16.24,0.21,0.0
20230122:0530,0.0,0.0,0.0,0.0,15.74,0.34,0.0
20230122:0630,0.0,0.0,0.0,0.0,15.42,0.28,0.0
20230122:0730,0.0,0.0,0.0,0.0,15.36,0.55,0.0
20230122:0830,0.0,0.0,0.0,0.0,14.94,0.48,0.0
20230122:0930,0.0,0.0,0.0,0.0,14.79,0.55,0.0
20230122:1030,0.0,0.0,0.0,0.0,14.72,0.34,0.0
20230122:1130,0.0,7.34,0.18,1.17,14.6,0.21,0.0
20230122:1230,26.08,69.67,1.68,15.05,14.97,0.41,0.0
20230122:1330,63.63,156.11,4.03,28.59,15.64,0.55,0.0
20230122:1430,160.47,236.59,7.14,41.45,17.13,0.14,0.0
20230122:1530,212.72,180.07,7.26,52.9,18.81,0.21,0.0
20230122:1630,265.68,265.13,10.41,61.16,19.76,0.28,0.0
20230122:1730,413.09,325.37,14.32,63.12,20.38,0.28,0.0
20230122:1830,169.45,252.43,8.38,57.6,21.54,0.34,0.0
20230122:1930,146.11,161.66,5.66,47.43,20.59,0.21,0.0
20230122:2030,267.08,201.69,7.13,35.14,19.48,0.28,0.0
20230122:2130,117.56,103.96,3.07,21.88,19.28,0.28,0.0
20230122:2230,0.0,32.08,0.78,8.14,18.76,0.48,0.0
20230122:2330,0.0,0.0,0.0,-5.85,18.11,0.34,0.0
20230123:0030,0.0,0.0,0.0,0.0,16.84,0.34,0.0
20230123:0130,0.0,0.0,0.0,0.0,16.95,0.14,0.0
20230123:0230,0.0,0.0,0.0,0.0,16.38,0.41,0.0
20230123:0330,0.0,0.0,0.0,0.0,15.97,0.48,0.0
20230123:0430,0.0,0.0,0.0,0.0,15.53,0.48,0.0
20230123:0530,0.0,0.0,0.0,0.0,15.27,0.55,0.0
20230123:0630,0.0,0.0,0.0,0.0,14.69,0.41,0.0
20230123:0730,0.0,0.0,0.0,0.0,15.11,0.62,0.0
20230123:0830,0.0,0.0,0.0,0.0,14.92,0.62,0.0
20230123:0930,0.0,0.0,0.0,0.0,14.64,0.69,0.0
20230123:1030,0.0,0.0,0.0,0.0,14.6,0.76,0.0
20230123:1130,0.0,10.9,0.27,1.14,14.35,0.69,0.0
20230123:1230,362.52,115.18,3.87,15.04,14.6,0.62,0.0
20230123:1330,587.83,176.7,8.87,28.61,16.89,0.62,0.0
20230123:1430,763.37,172.94,13.33,41.51,19.22,0.62,0.0
20230123:1530,826.07,150.16,16.15,53.01,21.05,0.48,0.0
20230123:1630,866.36,140.59,18.37,61.35,22.55,0.41,0.0
20230123:1730,657.62,196.48,16.07,63.35,23.56,0.41,0.0
20230123:1830,778.85,140.51,16.14,57.82,23.54,0.55,0.0
20230123:1930,595.76,146.66,11.67,47.61,22.85,0.69,0.0
20230123:2030,502.6,172.46,9.1,35.29,21.92,0.9,0.0
20230123:2130,198.22,108.97,3.71,22.01,21.44,0.76,0.0
20230123:2230,0.0,29.61,0.72,8.25,20.62,1.03,0.0
20230123:2330,0.0,0.0,0.0,-5.76,19.53,0.9,0.0
20230124:0030,0.0,0.0,0.0,0.0,18.16,0.76,0.0
20230124:0130,0.0,0.0,0.0,0.0,17.5,0.97,0.0
20230124:0230,0.0,0.0,0.0,0.0,17.52,0.83,0.0
20230124:0330,0.0,0.0,0.0,0.0,17.17,0.83,0.0
20230124:0430,0.0,0.0,0.0,0.0,16.81,0.83,0.0
20230124:0530,0.0,0.0,0.0,0.0,16.65,0.76,0.0
20230124:0630,0.0,0.0,0.0,0.0,16.56,0.62,0.0
20230124:0730,0.0,0.0,0.0,0.0,16.04,0.69,0.0
20230124:0830,0.0,0.0,0.0,0.0,15.99,0.62,0.0
20230124:0930,0.0,0.0,0.0,0.0,15.75,0.62,0.0
20230124:1030,0.0,0.0,0.0,0.0,15.48,0.69,0.0
20230124:1130,0.0,10.94,0.27,1.11,15.07,0.69,0.0
20230124:1230,469.32,121.74,4.49,15.04,14.76,0.62,0.0
20230124:1330,657.47,169.25,9.42,28.63,17.57,0.41,0.0
20230124:1430,742.72,205.33,13.59,41.57,20.66,0.28,0.0
20230124:1530,722.98,245.31,16.25,53.12,22.22,0.28,0.0
20230124:1630,693.05,249.32,17.4,61.54,23.26,0.48,0.0
20230124:1730,706.83,224.13,17.54,63.6,23.64,0.69,0.0
20230124:1830,754.39,178.88,16.48,58.05,23.45,0.83,0.0
20230124:1930,217.49,249.92,8.48,47.8,22.96,0.9,0.0
20230124:2030,164.13,173.07,5.56,35.44,21.4,1.03,0.0
20230124:2130,168.26,103.63,3.42,22.13,21.09,0.69,0.0
20230124:2230,0.0,35.35,0.86,8.35,19.57,0.76,0.0
20230124:2330,0.0,0.0,0.0,-5.68,19.48,0.41,0.0
20230125:0030,0.0,0.0,0.0,0.0,18.62,0.55,0.0
20230125:0130,0.0,0.0,0.0,0.0,17.94,0.62,0.0
20230125:0230,0.0,0.0,0.0,0.0,17.57,0.69,0.0
20230125:0330,0.0,0.0,0.0,0.0,17.14,0.69,0.0
20230125:0430,0.0,0.0,0.0,0.0,16.67,0.69,0.0
20230125:0530,0.0,0.0,0.0,0.0,16.21,0.69,0.0
20230125:0630,0.0,0.0,0.0,0.0,15.72,0.62,0.0
20230125:0730,0.0,0.0,0.0,0.0,15.25,0.62,0.0
20230125:0830,0.0,0.0,0.0,0.0,15.09,0.62,0.0
20230125:0930,0.0,0.0,0.0,0.0,14.88,0.55,0.0
20230125:1030,0.0,0.0,0.0,0.0,14.34,0.48,0.0
20230125:1130,0.0,11.87,0.29,1.08,13.85,0.48,0.0
20230125:1230,259.04,126.08,3.54,15.03,13.63,0.48,0.0
